TipoRegistro,Fecha,Empleado,Cliente_Proveedor,NIF,Direccion,Productos,Cantidades,Precios,Total,MedioPago,Documento,Observaciones
COMPRA,17/08/2025,Javier Torres,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Batería 12V,8,61.21,489.68,efectivo,Etiqueta #C-801,Falta confirmación
VENTA,05-May-2025,Ana García,MotoRepara,87654321N,"C/ Montaña 4, Granada",Cable 2m;Aceite lubricante;Filtro aire,4;8;8,"32.22;4,21;62,28",660.8,bizum,Garantía #V-516,Pendiente pago
COMPRA,19/03/2025,Pedro López,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Aceite lubricante;Cable 2m,4;5,"36,32;3.98",165.18,tarjeta,Albarán #C-555,Falta confirmación
VENTA,2025-05-16,Ana García,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Compresor portátil;Aceite lubricante;Taladro 500W,9;8;7,"3.37;54.08;59,21",877.44,efectivo,Garantía #V-888,Falta confirmación
COMPRA,06/01/2025,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Llave inglesa;Compresor portátil;Batería 12V;Taladro 500W,10;9;7;9,"31.24;61.21;52,64;61.41",1824.28,bizum,Recomendación de uso #C-520,
COMPRA,2025.09.08,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Aceite lubricante;Batería 12V;Taladro 500W,7;7;4,"52,7;19,32;71.78",791.26,bizum,Etiqueta #C-754,Falta confirmación
VENTA,18-Apr-2025,Pedro López,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Cable 2m;Batería 12V;Llave inglesa;Kit reparación,1;3;10;5,"52,11;67,38;77,1;18,17",1116.1,efectivo,Recomendación de uso #V-853,Garantía extendida
COMPRA,20-Aug-2025,Ana García,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Filtro aire,3;7,"66,58;13,11",347.41,transferencia,Albarán #C-183,Falta confirmación
COMPRA,2025/02/09,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Compresor portátil;Cable 2m;Aceite lubricante,8;2;9,"54.83;54.86;13,85",673.01,efectivo,Recomendación de uso #C-140,Pendiente pago
VENTA,17/09/2025,Marta Ruiz,Motorline,55667788W,"C/ Castilla 22, Madrid",Taladro 500W;Cable 2m;Batería 12V;Compresor portátil,6;5;10;7,"37,6;68,91;24.41;72,95",,tarjeta,Factura #V-584,Entrega parcial
VENTA,24-01-25,Marta Ruiz,Repara YA,77889900K,"C/ Valencia 6, Murcia",Cable 2m;Filtro aire;Adaptador 12V,2;7;8,"9,32;22,1;40,88",499.67,efectivo,Factura #V-750,Garantía extendida
VENTA,03-04-25,Marta Ruiz,Taller Exprés,22113344J,"C/ Ronda 7, Zaragoza",Filtro aire;Kit reparación;Taladro 500W,8;3;9,"39,14;77,64;10.46",640.18,tarjeta,Albarán #V-471,
COMPRA,2025.01.22,Marta Ruiz,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Adaptador 12V,7,"20,27",148.71,efectivo,Etiqueta #C-457,Duplicado
VENTA,2025-02-07,Pedro López,AutoService,66779988S,"C/ Sol 22, Málaga",Cable 2m;Compresor portátil;Llave inglesa,4;8;3,"58,42;29,66;59,36",649.04,bizum,Recomendación de uso #V-410,Duplicado
COMPRA,18-09-25,Javier Torres,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Adaptador 12V;Llave inglesa;Aceite lubricante;Filtro aire,8;9;9;4,"30.36;32,62;61.51;71.03",1374.17,bizum,Etiqueta #C-339,Garantía extendida
VENTA,2025/07/01,Pedro López,Repuestos Hermanos Gil,22334455R,"C/ Prado 4, Córdoba",Compresor portátil;Llave inglesa;Adaptador 12V,9;6;7,"28.61;27.34;64,75",,efectivo,Etiqueta #V-911,Duplicado
VENTA,09-Apr-2025,Pedro López,AutoService,66779988S,"C/ Sol 22, Málaga",Filtro aire;Compresor portátil,9;2,"28,31;15,23",,bizum,Etiqueta #V-975,Pendiente pago
COMPRA,18-Jan-2025,Ana García,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Adaptador 12V;Batería 12V,4;10,"34,59;9.54",233.76,efectivo,Garantía #C-919,Pendiente pago
COMPRA,2025/10/01,Marta Ruiz,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Filtro aire;Cable 2m;Kit reparación;Llave inglesa,8;2;6;3,"62.15;46,54;34,21;17.52",848.1,bizum,Etiqueta #C-157,Garantía extendida
VENTA,2025/03/24,Ana García,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Cable 2m;Adaptador 12V;Kit reparación,4;3;2,43.76;77.28;42.53,491.94,tarjeta,Recomendación de uso #V-708,Falta confirmación
VENTA,2025-03-19,Javier Torres,Taller Mecánico López,99884433Z,"Av. Europa 2, Sevilla",Filtro aire;Compresor portátil;Cable 2m;Llave inglesa,8;5;5;1,32.92;28.95;25.61;49.78,585.94,efectivo,Albarán #V-526,
COMPRA,2025-10-10,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Llave inglesa;Kit reparación,5;5,8.15;21.42,147.85,transferencia,Etiqueta #C-383,Duplicado
COMPRA,13-Mar-2025,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Cable 2m;Kit reparación;Batería 12V;Filtro aire,6;2;8;1,"43,12;22.66;74.94;11.46",938.06,tarjeta,Albarán #C-544,Falta confirmación
COMPRA,14/01/2025,Javier Torres,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Kit reparación;Cable 2m,7;3,38.83;31.9,367.51,transferencia,Factura #C-464,
VENTA,25-Sep-2025,Marta Ruiz,RefriCar,23456789L,"C/ Paz 2, León",Taladro 500W;Llave inglesa;Cable 2m,3;10;3,46.58;37.14;34.51,600.83,transferencia,Garantía #V-475,
VENTA,02/05/2025,Ana García,RefriCar,23456789L,"C/ Paz 2, León",Adaptador 12V;Aceite lubricante;Compresor portátil;Cable 2m,4;10;9;2,"29,37;28.66;21,9;11,42",624.02,transferencia,Etiqueta #V-921,Duplicado
COMPRA,22-Feb-2025,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Cable 2m;Taladro 500W,5;5,"7.96;53,61",349.63,efectivo,Etiqueta #C-289,Pendiente pago
COMPRA,21-08-25,Ana García,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Aceite lubricante;Llave inglesa,6;10,"65,14;70.38",1094.64,tarjeta,Recomendación de uso #C-103,Falta confirmación
VENTA,2025/01/05,Pedro López,Mecánica Pro,88776655A,"C/ Luna 19, Valencia",Compresor portátil,7,"27,21",190.47,tarjeta,Factura #V-601,Duplicado
COMPRA,2025/05/17,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Cable 2m;Filtro aire,9;4;4,"25,76;44.64;54,11",626.84,efectivo,Recomendación de uso #C-490,Entrega parcial
VENTA,2025-01-25,Ana García,ElectroFix,99887766G,"C/ Goya 3, Valencia",Compresor portátil,9,14.69,132.21,transferencia,Factura #V-796,
VENTA,06/05/2025,Javier Torres,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Llave inglesa;Aceite lubricante;Compresor portátil,4;1;7,"11.0;76,24;71.39",619.97,tarjeta,Albarán #V-748,Entrega parcial
VENTA,09/07/2025,Marta Ruiz,FastFix,11223344P,"Av. Elche 14, Elche",Taladro 500W;Llave inglesa;Batería 12V;Aceite lubricante,5;5;8;5,77.86;67.63;56.55;45.55,1407.6,transferencia,Etiqueta #V-612,Pendiente pago
COMPRA,28-Mar-2025,Pedro López,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Compresor portátil;Llave inglesa,1;3,"51,82;58,82",228.28,tarjeta,Factura #C-128,Duplicado
COMPRA,2025.08.20,Marta Ruiz,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Taladro 500W,4,47.41,189.64,tarjeta,Garantía #C-319,Entrega parcial
VENTA,2025-03-09,Pedro López,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Compresor portátil;Kit reparación;Batería 12V;Filtro aire,8;2;5;7,"5,96;42.22;51.44;64,62",,transferencia,Recomendación de uso #V-885,Falta confirmación
COMPRA,2025-10-05,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Adaptador 12V,4,53.86,,efectivo,Garantía #C-273,Falta confirmación
COMPRA,05-Oct-2025,Javier Torres,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Adaptador 12V;Batería 12V;Cable 2m;Filtro aire,7;2;5;2,"65.31;23.07;61,59;78,65",968.56,bizum,Recomendación de uso #C-740,Garantía extendida
COMPRA,2025-04-14,Marta Ruiz,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Kit reparación;Batería 12V;Adaptador 12V,10;3;4,"76,07;11,94;75.8",1099.72,efectivo,Albarán #C-710,
COMPRA,2025-07-02,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Aceite lubricante;Compresor portátil;Cable 2m;Kit reparación,8;1;10;2,"54,07;30,86;59.05;64.48",1259.1,transferencia,Etiqueta #C-171,Entrega parcial
VENTA,2025.02.08,Ana García,Motorline,55667788W,"C/ Castilla 22, Madrid",Kit reparación;Llave inglesa;Adaptador 12V,2;2;10,"77,36;41,16;77.76",1014.64,tarjeta,Recomendación de uso #V-377,Garantía extendida
COMPRA,2025-05-01,Javier Torres,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Llave inglesa,3,"40,18",120.54,tarjeta,Albarán #C-131,Falta confirmación
VENTA,17-Oct-2025,Marta Ruiz,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Batería 12V;Kit reparación,9;6,65.44;48.75,881.46,efectivo,Recomendación de uso #V-199,
VENTA,2025/09/06,Marta Ruiz,Taller Exprés,22113344J,"C/ Ronda 7, Zaragoza",Llave inglesa,1,35.26,34.16,bizum,Factura #V-605,Garantía extendida
VENTA,2025/01/02,Javier Torres,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Llave inglesa;Aceite lubricante;Kit reparación;Taladro 500W,10;9;1;4,"60,09;5.76;19.56;48.64",866.86,bizum,Albarán #V-700,
COMPRA,15/01/2025,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Batería 12V;Cable 2m;Llave inglesa,3;9;2,"32.7;78.29;37,82",,efectivo,Garantía #C-713,
COMPRA,2025.10.13,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Llave inglesa;Adaptador 12V,4;2,"3,06;47.68",107.6,transferencia,Etiqueta #C-268,Entrega parcial
VENTA,2025-08-12,Marta Ruiz,FixCar,66778899Q,"Av. Levante 12, Alicante",Kit reparación,6,29.14,174.84,bizum,Recomendación de uso #V-416,Duplicado
VENTA,2025.08.11,Pedro López,Electrodomésticos Sol,C11223344,"Calle Real 45, Málaga",Filtro aire;Taladro 500W;Batería 12V;Aceite lubricante,8;2;7;7,"63,88;5,1;5.4;24,26",728.86,transferencia,Factura #V-462,Garantía extendida
COMPRA,15-10-25,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Llave inglesa;Batería 12V;Filtro aire;Adaptador 12V,3;6;8;8,"46,31;19.24;42.47;64,67",1111.49,bizum,Factura #C-404,Garantía extendida
COMPRA,2025.05.06,Marta Ruiz,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Taladro 500W;Compresor portátil;Filtro aire;Adaptador 12V,2;3;9;8,"74,14;11.53;12,23;72.06",869.42,tarjeta,Etiqueta #C-368,Garantía extendida
VENTA,2025/08/18,Javier Torres,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Taladro 500W;Batería 12V;Cable 2m,8;7;5,"38.36;78.88;73,09",1224.49,transferencia,Recomendación de uso #V-932,Entrega parcial
COMPRA,2025.06.02,Javier Torres,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Adaptador 12V;Taladro 500W;Kit reparación,6;9;5,"32.15;44,58;79.65",992.37,efectivo,Factura #C-425,
VENTA,01/06/2025,Ana García,Motorline,55667788W,"C/ Castilla 22, Madrid",Compresor portátil,8,4.89,39.12,efectivo,Recomendación de uso #V-967,Pendiente pago
COMPRA,2025.07.24,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Compresor portátil;Kit reparación;Filtro aire,4;4;2,6.05;79.32;51.71,444.9,efectivo,Albarán #C-315,Pendiente pago
VENTA,2025/09/22,Marta Ruiz,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Batería 12V;Filtro aire,2;1,"58.96;22,9",140.82,transferencia,Factura #V-471,Duplicado
VENTA,15/09/2025,Ana García,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Kit reparación;Cable 2m,4;6,"13.65;72,61",490.26,bizum,Garantía #V-328,Falta confirmación
VENTA,06/07/2025,Marta Ruiz,Motorline,55667788W,"C/ Castilla 22, Madrid",Llave inglesa;Filtro aire,7;6,"61,47;78,71",902.55,tarjeta,Garantía #V-481,Duplicado
VENTA,23-09-25,Javier Torres,EconoCar,89012345Y,"C/ Madrid 8, Albacete",Filtro aire;Cable 2m;Taladro 500W;Adaptador 12V,6;8;1;6,"10.14;17,04;76,29;69.9",692.85,tarjeta,Recomendación de uso #V-880,Entrega parcial
COMPRA,21-Jun-2025,Ana García,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Compresor portátil;Adaptador 12V;Kit reparación,10;1;1,"37,67;20.22;28.04",424.96,efectivo,Garantía #C-798,Duplicado
VENTA,2025.05.27,Javier Torres,AutoService,66779988S,"C/ Sol 22, Málaga",Taladro 500W;Cable 2m;Adaptador 12V,7;5;4,"63,91;9,81;76,03",800.54,efectivo,Etiqueta #V-661,
VENTA,2025-10-25,Pedro López,Motorline,55667788W,"C/ Castilla 22, Madrid",Cable 2m;Filtro aire;Adaptador 12V;Compresor portátil,6;5;6;5,"17,44;67.74;18.24;21,76",661.58,tarjeta,Garantía #V-444,Falta confirmación
COMPRA,16-May-2025,Marta Ruiz,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Llave inglesa;Batería 12V;Adaptador 12V,10;4;10,"45,38;32.66;74,4",1328.44,transferencia,Factura #C-563,Duplicado
COMPRA,2025-06-04,Marta Ruiz,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Aceite lubricante;Batería 12V;Taladro 500W,1;8;5,"75,33;66.62;31.8",767.29,efectivo,Recomendación de uso #C-614,Pendiente pago
COMPRA,2025-01-01,Marta Ruiz,Suministros López,B23456789,"C/ Mayor 12, Madrid",Batería 12V;Llave inglesa;Aceite lubricante,10;10;9,"53.4;55.82;58,37",1617.53,efectivo,Recomendación de uso #C-973,Entrega parcial
VENTA,25/06/2025,Javier Torres,EconoCar,89012345Y,"C/ Madrid 8, Albacete",Llave inglesa;Aceite lubricante;Filtro aire;Kit reparación,4;5;7;6,"69.6;71.75;42.57;20,77",1059.76,transferencia,Factura #V-168,
COMPRA,2025-02-15,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Llave inglesa,4,"57,59",230.36,transferencia,Recomendación de uso #C-675,Pendiente pago
VENTA,2025-08-17,Pedro López,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Taladro 500W,5,"19,99",99.95,bizum,Recomendación de uso #V-155,Garantía extendida
VENTA,20/06/2025,Pedro López,Repuestos Hermanos Gil,22334455R,"C/ Prado 4, Córdoba",Cable 2m;Kit reparación;Taladro 500W;Batería 12V,4;9;7;4,"51.71;44.42;14,97;4.39",728.97,transferencia,Recomendación de uso #V-776,
VENTA,27-Apr-2025,Javier Torres,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Cable 2m;Adaptador 12V;Llave inglesa;Filtro aire,9;5;7;9,29.42;48.11;50.04;53.14,1333.87,efectivo,Garantía #V-476,Garantía extendida
VENTA,2025/08/06,Ana García,Repara YA,77889900K,"C/ Valencia 6, Murcia",Compresor portátil;Aceite lubricante,5;1,18.75;47.52,141.27,efectivo,Albarán #V-312,Duplicado
COMPRA,24-Apr-2025,Javier Torres,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Adaptador 12V;Cable 2m;Filtro aire;Llave inglesa,4;1;6;4,"29.94;59,72;39,85;36,21",563.42,tarjeta,Albarán #C-828,Duplicado
COMPRA,2025-02-08,Marta Ruiz,Suministros López,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Cable 2m,3;2,"26,16;14.39",107.26,tarjeta,Recomendación de uso #C-116,Pendiente pago
VENTA,2025-08-05,Marta Ruiz,Motorline,55667788W,"C/ Castilla 22, Madrid",Kit reparación;Aceite lubricante;Adaptador 12V,5;4;9,"62.0;20,66;8.15",465.99,efectivo,Garantía #V-468,Entrega parcial
VENTA,2025/10/06,Javier Torres,FastFix,11223344P,"Av. Elche 14, Elche",Cable 2m;Kit reparación;Compresor portátil,4;3;3,"24,88;30.06;72,69",407.77,efectivo,Garantía #V-659,Pendiente pago
VENTA,2025-04-14,Javier Torres,Talleres Norte,11122233V,"C/ Mayor 44, Burgos",Cable 2m;Compresor portátil,6;8,"69,63;58.67",887.14,bizum,Factura #V-862,Pendiente pago
COMPRA,24-Oct-2025,Pedro López,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Filtro aire;Taladro 500W,3;7,"56.67;18,29",298.04,tarjeta,Factura #C-379,
COMPRA,24-05-25,Javier Torres,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Compresor portátil;Llave inglesa;Aceite lubricante;Adaptador 12V,6;4;1;3,"32,05;30,87;6,26;70.24",532.76,transferencia,Albarán #C-426,Entrega parcial
COMPRA,2025-07-12,Marta Ruiz,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Kit reparación,5,"33,3",166.5,tarjeta,Etiqueta #C-588,Falta confirmación
COMPRA,2025-09-14,Javier Torres,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Kit reparación,8,"12,17",97.36,transferencia,Garantía #C-282,Falta confirmación
COMPRA,24-Mar-2025,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Batería 12V;Compresor portátil;Llave inglesa,8;4;7,"48,36;54,97;66.05",1069.11,efectivo,Recomendación de uso #C-788,Entrega parcial
COMPRA,2025/06/15,Pedro López,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Cable 2m;Llave inglesa,8;6,"75,32;7,09",645.1,transferencia,Recomendación de uso #C-121,
